Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	KEGG Pathways	Chromosome	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance: F25: Sample	Abundance: F26: Sample	Abundance: F27: Sample	Abundance: F37: Sample	Abundance: F38: Sample	Abundance: F39: Sample	Abundance: F74: Sample	Abundance: F75: Sample	Abundance: F76: Sample	Found in Sample: [S25] F25: Sample	Found in Sample: [S26] F26: Sample	Found in Sample: [S27] F27: Sample	Found in Sample: [S37] F37: Sample	Found in Sample: [S38] F38: Sample	Found in Sample: [S39] F39: Sample	Found in Sample: [S74] F74: Sample	Found in Sample: [S75] F75: Sample	Found in Sample: [S76] F76: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	Q88P88	UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=murA PE=1 SV=1	0	265.527	80	29	1131	29	421	44.9	5.53	1887.79	29	"cell division;cell organization and biogenesis;metabolic process;regulation of biological process"	cytoplasm	catalytic activity	Pf00275	1044883	PP_0964	murA	"Peptidoglycan biosynthesis; Metabolic pathways; Amino sugar and nucleotide sugar metabolism"				3	125026471.7	116395429	108340960.6	262645643.4	203993103.5	191230933.4	149270308.6	163568515.8	179060765.3	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88Q23	Glutamate dehydrogenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=gdhA PE=3 SV=1	0	265.51	54	28	923	28	449	48.8	6.55	1945.8	28	metabolic process		catalytic activity	Pf00208, Pf02812	1044501	PP_0675	gdhA	"Arginine biosynthesis; Metabolic pathways; Nitrogen metabolism; Alanine, aspartate and glutamate metabolism"				4	291831729.4	248180135.3	287931186.5	341527949.8	212110865.1	419455053.1	151433896.7	103170625.8	274143264.6	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88PJ5	TPR_21 domain-containing protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_0855 PE=4 SV=1	0	265.303	93	26	1130	26	213	22.5	5.03	1923.18	26		membrane	protein binding	Pf09976	1044723	PP_0855	PP_0855					0	137688808.9	119259492.3	113432428.9	111291740	91436243.09	166868969.2	161097360.4	138927472.3	195381395.8	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88NG9	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=purC PE=3 SV=1	0	264.396	84	33	1477	33	236	26.9	5.5	2708.52	33	metabolic process		"catalytic activity;nucleotide binding"	Pf01259	1042268	PP_1240	purC	"Biosynthesis of antibiotics; Purine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites"				4	242727607.3	273968170.8	274293618.8	292361726.4	225300394.2	390566439	314387755.2	288643475.2	395721853.5	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88N80	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=murF PE=3 SV=1	0	261.947	73	26	1153	26	455	46.7	6.64	2300.59	26	"cell division;cell organization and biogenesis;metabolic process;regulation of biological process"	cytoplasm	"catalytic activity;nucleotide binding"	Pf01225, Pf02875, Pf08245	1043795	PP_1333	murF	"Vancomycin resistance; Lysine biosynthesis; Metabolic pathways; Peptidoglycan biosynthesis"				4	52437243.58	83918647.52	74437690.36	83499525.7	70313209.42	110645438.1	60692886.95	63182511.69	69187313.97	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88EF9	Nitroreductase family protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4506 PE=4 SV=1	0	261.48	98	23	1382	23	185	20	6.64	2448.22	23	metabolic process		catalytic activity	Pf00881	1041845	PP_4506	PP_4506					0	189323245.2	200107208	188929173.8	227295135.2	200544597.8	356068119.3	232722754.8	190038736.1	292268249.5	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88BX3	ATP synthase gamma chain OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=atpG PE=3 SV=1	0	261.255	71	24	1242	24	286	31.4	8.84	2354.06	24	"metabolic process;transport"	membrane	"catalytic activity;transporter activity"	Pf00231	1042016	PP_5414	atpG	"Metabolic pathways; Oxidative phosphorylation"				2	415898582.5	420872845.7	403215739.3	729984877.2	611963924.6	723152319.5	543726280.1	523001160.7	672472310.6	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88KI7	DNA binding regulator, beta subunit B OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=hupB PE=3 SV=1	0	260.42	87	14	2576	14	90	9.2	9.41	4382.71	14	"cell organization and biogenesis;metabolic process"		DNA binding	Pf00216, Pf14908	1045286	PP_2303	hupB					0	1944673269	2224895430	1639553224	2088048286	1843234104	3409071545	2618693271	2923862008	2857349439	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88Q14	Peptidyl-prolyl cis-trans isomerase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=fklB-I PE=3 SV=1	0	258.499	83	19	1215	19	205	21.7	4.73	2930.23	19	metabolic process		catalytic activity	Pf00254, Pf01346	1044510	PP_0684	"fklB-1; fklB-I"					0	276844543.1	249372761.2	244255234.8	224747467.5	157596086.7	303994593.7	323342435.1	265885773.5	385205976.7	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88N81	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=murE PE=3 SV=1	0	258.376	76	33	1494	33	496	53.6	5.57	2765.49	33	"cell division;cell organization and biogenesis;metabolic process;regulation of biological process"	cytoplasm	"catalytic activity;nucleotide binding"	Pf01225, Pf02875, Pf08245	1041725	PP_1332	murE	"Peptidoglycan biosynthesis; Lysine biosynthesis"				2	60858949.61	93466343.28	88270680.3	110369132.7	93058935.58	110854675.6	82607247.33	85195087.88	105028233.4	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DF5	Azurin OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4870 PE=4 SV=1	0	256.97	70	13	2627	13	149	16	6.92	3412.84	13	"metabolic process;transport"		metal ion binding	Pf00127	1043477	PP_4870	PP_4870					0	2111237031	2247813447	2152269160	1507525894	1568691353	2765735076	3418387024	2697349263	4192769290	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P0A138	Peptidoglycan-associated lipoprotein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=pal PE=3 SV=1	0	255.934	78	16	1747	16	166	17.8	5.24	2999.83	16		membrane		Pf00691	1046136	PP_1223	oprL					0	645897437.8	664960210.1	740440359.4	1615704761	1914545273	1235263373	909275737.5	833420187.4	1104382295	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88NA1	Tryptophan--tRNA ligase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=trpS PE=3 SV=1	0	255.846	69	29	1471	29	449	49.3	5.69	3118.93	29	metabolic process	cytoplasm	"catalytic activity;nucleotide binding"	Pf00579	1041624	PP_1311	"PP_1311; trpS"	Aminoacyl-tRNA biosynthesis				1	126027100.9	145764867.5	145576335.4	165539818.5	101471455.3	197682924.1	139056022.1	147267527.1	173897123.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88L24	Aconitate hydratase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=acnA-I PE=3 SV=1	0	255.711	46	36	738	36	913	99.1	5.86	1003.06	36	metabolic process		"catalytic activity;metal ion binding"	Pf00330, Pf00694	1044964	PP_2112	"acnA; acnA-I"	"Biosynthesis of secondary metabolites; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Microbial metabolism in diverse environments; Biosynthesis of amino acids; Biosynthesis of antibiotics; Metabolic pathways; Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism"				9	27024752.08	41532625.56	37851962.84	108636685.9	91975244.91	122423429.7	66728702.13	93284407.13	79856858.88	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88FI4	Elongation factor G 2 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=fusB PE=1 SV=1	0	255.351	61	35	1217	27	703	77.8	5.39	1666.13	35	metabolic process	cytoplasm	"catalytic activity;nucleotide binding;RNA binding"	Pf00009, Pf00679, Pf03144, Pf03764, Pf14492	1042244	PP_4111	"fusA; fusB"					0	34399974.25	38066679.34	34343322.63	77018446.75	70983656.81	77689898.31	44137233.38	44880028.44	48298636.94	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DH7	Curved DNA-binding protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=cbpA PE=3 SV=1	0	254.853	86	28	1486	28	319	34.8	9.19	2579.53	28	metabolic process	cytoplasm	"DNA binding;protein binding"	Pf00226, Pf01556	1041673	PP_4848	"PP_4848; cbpA"					0	185274257.6	171473294.5	186551841.7	223815093.9	273693724.7	298481084.3	254500203	201130453.6	323173934.3	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88M04	Cytidylate kinase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=cmk PE=3 SV=1	0	254.853	85	19	1092	19	228	24.7	5.25	2998.49	19	metabolic process	cytoplasm	"catalytic activity;nucleotide binding"	Pf00406, Pf02224, Pf13189, Pf13207, Pf13238	1043351	PP_1771	cmk	"Pyrimidine metabolism; Metabolic pathways"				2	172617176.8	178687165.9	151263844.4	192229037	150803160.3	251863431.6	156922792.1	146637316.3	181652687.4	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88LS0	Elongation factor P OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=efp PE=3 SV=1	0	254.6	46	22	1608	22	189	21.3	4.87	2959.74	22	metabolic process	cytoplasm	RNA binding	Pf01132, Pf08207, Pf09285	1043241	PP_1858	efp					0	942873318.5	900485453.3	869307966.7	1027825630	833599040.7	1497591786	1262771878	1036750504	1637689518	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88KX1	Transaldolase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tal PE=3 SV=1	0	253.185	76	25	1225	25	308	33.6	5.35	2393.1	25	metabolic process	cytoplasm	catalytic activity	Pf00923	1045028	PP_2168	tal	"Carbon metabolism; Pentose phosphate pathway; Microbial metabolism in diverse environments; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; Biosynthesis of antibiotics; Metabolic pathways"				7	132948117.8	179775131.3	172834337.3	231885080	188319131.6	290394278	204933772.7	189138874.1	240358014	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	P59374	30S ribosomal protein S11 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rpsK PE=3 SV=1	0	252.127	72	17	1958	17	129	13.7	10.83	4010.93	17	metabolic process	ribosome	"RNA binding;structural molecule activity"	Pf00411	"1044242; 33052752"	PP_0477	"rpsK; LK03_RS07810"	Ribosome				1	2091763689	1811206308	1961842077	1624301514	1109723031	2571700074	2019489513	1625594320	2954320879	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88D60	S-adenosylmethionine synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=metK PE=3 SV=1	0	251.882	74	26	1254	26	396	42.8	5.49	2279.64	26	metabolic process	cytoplasm	"catalytic activity;metal ion binding;nucleotide binding"	Pf00438, Pf02772, Pf02773	1042402	PP_4967	metK	"Cysteine and methionine metabolism; Biosynthesis of amino acids; Metabolic pathways; Biosynthesis of secondary metabolites"				4	105518681.9	147124041.1	161255116	199887402.6	120661111	215028291.2	82256776.36	89889595.22	125155142.7	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88DX5	RNA polymerase-binding transcription factor DksA OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=dksA PE=3 SV=1	0	250.111	53	16	1520	16	148	17.1	5.74	2918.6	16	regulation of biological process	cytoplasm	metal ion binding	Pf01258	1045879	PP_4693	"PP_4693; dksA"					0	192902384.7	228126633.7	220083588.5	293961222.4	238201362.1	316379596.1	272446862.2	250379107.4	381797234	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88CY9	Fructose-1,6-bisphosphatase class 1 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=fbp PE=3 SV=1	0	249.676	57	21	1139	21	336	37.2	6.01	2125.29	21	metabolic process	cytoplasm	"catalytic activity;metal ion binding"	Pf00316	1043617	PP_5040	fbp	"Pentose phosphate pathway; Biosynthesis of antibiotics; Carbon metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Methane metabolism; Glycolysis / Gluconeogenesis; Microbial metabolism in diverse environments; Fructose and mannose metabolism"				9	455464611.8	503919519.3	492373212.9	678665615.1	493712674.1	806911893.4	627329938	633914812.2	857229855.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88NR0	RNA polymerase-associated protein RapA OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rapA PE=3 SV=1	0	249.088	38	31	887	31	948	105.9	5.2	1533.93	31	"metabolic process;regulation of biological process"		"catalytic activity;DNA binding;nucleotide binding"	Pf00176, Pf00270, Pf00271, Pf12137	1045495	PP_1145	"hepA; rapA"					0	37333339.13	57771471.89	61339642.22	83947791.81	40441692.29	80647743.91	62030954.34	69880866.23	72270114.47	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88EZ5	Sulfate ABC transporter OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=sbp-I PE=4 SV=1	0	249.077	61	25	1484	25	332	36.7	6.4	2576.8	25	transport		"catalytic activity;transporter activity"	Pf01547, Pf12727, Pf13343, Pf13416, Pf13531	1043415	PP_4305	"PP_4305; sbp-I"	"ABC transporters; Sulfur metabolism"				2	182735690.4	166365804.2	167623529.1	150378228.5	142217368.3	233180907.8	107607931.4	83359097.31	128602634.6	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DE6	Ribonuclease R OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rnr PE=3 SV=1	0	248.525	48	40	1140	40	857	96.6	7.83	1529.9	40	metabolic process	cytoplasm	"catalytic activity;RNA binding"	Pf00575, Pf00773, Pf08206	1044105	PP_4880	"vacB; rnr"	RNA degradation				1	222868352.5	260026099	265680430.9	250538152.5	201866203.7	401170985.4	461991444.7	383339879.3	503394235.8	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88QR6	Indole-3-glycerol phosphate synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=trpC PE=3 SV=1	0	246.789	86	29	1213	29	277	30.4	5.03	2333.93	29	metabolic process		catalytic activity	Pf00218	1044149	PP_0422	trpC	"Biosynthesis of secondary metabolites; Biosynthesis of antibiotics; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of amino acids; Metabolic pathways"				5	160667068.8	193841931.8	209117122.8	216604108.7	166170682.9	265004102.1	155219102.6	133113525.3	181222494.5	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	A0A140FW22	Peptide chain release factor 2 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=prfB PE=3 SV=1	0	246.285	51	19	1408	19	364	41	5.02	2897.13	19	"cell organization and biogenesis;metabolic process"	cytoplasm	RNA binding	Pf00472, Pf03462	1045671	PP_1495	prfB					0	235796663	287521787.3	261322216.1	285322976.2	221510075.2	308036156.5	337245565.8	268765454.1	264241525.7	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DD6	Protein HflC OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=hflC PE=3 SV=1	0	246.236	66	31	1412	31	289	33	9.38	2254.01	31	regulation of biological process	membrane	catalytic activity	Pf01145	1041929	PP_4891	hflC					0	162199900.8	115088552	109140912.7	168452516.1	190217622	262669061.5	193572216.2	164698922.5	244554366.7	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88C98	Periplasmic dipeptide transport protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=dppA-IV PE=4 SV=1	0	246.21	57	24	1079	24	529	57.5	8.32	2390.5	24	transport			Pf00496	1042261	PP_5283	"PP_5283; dppA-IV"	Quorum sensing				1	154719417.3	124724439.4	155174959.8	165834374.3	134947917.8	176044538.8	130145906.5	123969401.5	215233760.7	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DY9	Acetohydroxybutanoate synthase / acetolactate synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=ilvH PE=4 SV=1	0	245.92	80	17	1131	17	163	17.8	6.33	2457.31	17	metabolic process		catalytic activity	Pf01842, Pf10369, Pf13710	"1044684; 32807678"	PP_4679	"ilvH; PSEEN_RS21785"	"Butanoate metabolism; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis; Metabolic pathways; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; C5-Branched dibasic acid metabolism; Biosynthesis of antibiotics; Biosynthesis of secondary metabolites"				9	159150328.5	136812516	140661444.6	322601207.3	262871712.6	242134882.2	110064767.7	111762042.5	123906240.7	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88CG6	Thioredoxin OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=trxA PE=3 SV=1	0	245.733	100	18	2051	18	109	11.7	5.19	2275.24	18	"cellular homeostasis;metabolic process;regulation of biological process"		catalytic activity	Pf00085, Pf13098, Pf13905	1042429	PP_5215	"trx-2; trxA"					0	977703782.6	763180414.7	813342629.3	464971967.1	338152748.3	1226185632	1143321829	994690405.2	1435719842	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88DM5	Lipoyl synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=lipA PE=3 SV=1	0	245.637	68	22	1159	22	338	37.9	7.12	2576.27	22	metabolic process	cytoplasm	"catalytic activity;metal ion binding"	Pf04055	1041614	PP_4800	lipA	"Metabolic pathways; Lipoic acid metabolism"				2	131305310.8	157340527.1	161858941.1	164121934	89718020.78	168342164.5	116681487.6	102344863.9	157954867.3	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88QN0	50S ribosomal protein L22 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rplV PE=3 SV=1	0	245.346	53	15	1517	14	110	11.9	10.11	3084.42	15	metabolic process	ribosome	"RNA binding;structural molecule activity"	Pf00237	"1044206; 5106438"	PP_0459	"rplV; PFLU_RS27140; PMEN_RS19630"	Ribosome				1	1593975198	1533720088	1306434571	1301124845	932688118.5	1900965329	1443121009	1474774394	1824262560	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QM1	30S ribosomal protein S8 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rpsH PE=3 SV=1	0	244.594	91	16	3475	16	130	14	9.61	5476.39	16	metabolic process	ribosome	"RNA binding;structural molecule activity"	Pf00410	1044227	PP_0468	rpsH	Ribosome				1	2495513031	2125503799	2207623085	2185288086	1273537672	2996294761	2203126047	1920630417	3248867164	High	High	High	High	High	High	High	High	High	1	"Met-loss [N-Term]; Met-loss+Acetyl [N-Term]"
FALSE	High	Master Protein	Q88HE4	Gluconokinase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=gnuK PE=3 SV=1	0	244.049	75	14	643	14	179	19	5.86	1245.97	14	metabolic process		"catalytic activity;nucleotide binding"		1046375	PP_3416	gnuK	"Biosynthesis of antibiotics; Biosynthesis of secondary metabolites; Metabolic pathways; Carbon metabolism; Microbial metabolism in diverse environments; Pentose phosphate pathway"				6	376770435.3	373094913.2	402422066.3	20378596.31	24260657.03	213268627.9	69346408.59	57726775.78	90683638.19	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88CZ6	Urocanate hydratase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=hutU PE=3 SV=1	0	242.976	49	27	328	27	557	60.7	5.92	536.06	27	metabolic process	cytoplasm	"catalytic activity;structural molecule activity"	Pf01175, Pf06152	1042837	PP_5033	hutU	"Histidine metabolism; Metabolic pathways"				2	53048496.55	52156349.52	51119474.58	40253292.56	29234529.23	144402842.1	218864750.1	240514343.7	286368522.8	High	High	High	Peak Found	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88NG3	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_1246 PE=4 SV=1	0	242.872	45	29	698	29	619	65.9	6.18	828.31	29					1042449	PP_1246	PP_1246					0	61270872.5	57507504.97	51459564.41	181318607.8	149111204.6	106429098.3	30152326.25	26186797.19	37846768.06	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88MH1	Skp-like protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_1600 PE=4 SV=1	0	242.826	80	27	1391	27	167	18.8	9.39	2182.26	27			protein binding	Pf03938	1044989	PP_1600	"ompH; PP_1600"					0	493016627.3	424286254.9	462372642.8	438892984.1	381450326.4	634100750.4	448004716.2	371482411.2	630643101.2	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DN0	LPS-assembly lipoprotein LptE OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=lptE PE=3 SV=1	0	242.11	74	23	1351	23	201	22.4	6.25	2725.15	23	cell organization and biogenesis	membrane		Pf04390	1042254	PP_4795	PP_4795					0	124652636.5	118245196.7	139539034.3	258177625.4	251666106.1	210491213.6	136780331.2	112336225	183138637.9	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QH7	3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=ribAB-I PE=3 SV=1	0	241.416	61	21	995	20	369	39.9	5.49	2244.97	21	metabolic process		"catalytic activity;metal ion binding"	Pf00925, Pf00926, Pf11681	1044291	PP_0516	"ribBA-1; ribAB-I"	"Metabolic pathways; Biosynthesis of secondary metabolites; Riboflavin metabolism"				3	48259751.83	59680274.19	62151525.44	68368799.61	37671293	58373987.88	50985204.83	45501206	59303304.03	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88M48	ABC transporter, periplasmic binding protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_1726 PE=4 SV=1	0	241.279	77	25	1069	25	354	38.6	6.14	1897.72	25				Pf13343, Pf13416, Pf13531	1043451	PP_1726	PP_1726	Quorum sensing				1	103288336.5	115976823.5	97249664.25	159729275.5	171123356.7	202866214.3	126927346.1	104919812.8	143332028.8	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88LL6	3-oxoacyl-[acyl-carrier-protein] reductase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=fabG PE=3 SV=1	0	240.421	59	15	1526	15	246	25.5	6.2	3282.93	15	metabolic process		"catalytic activity;nucleotide binding"	Pf00106, Pf08659, Pf13561	1043163	PP_1914	fabG	"Metabolic pathways; Biosynthesis of unsaturated fatty acids; Fatty acid biosynthesis; Biotin metabolism; Fatty acid metabolism"				5	930921334.2	803821845.7	798499230.4	790856573.4	661323170.7	1296107578	905829787	721125251.6	1007756539	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88K29	Nucleic acid cold-shock chaperone OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=cspA-II PE=4 SV=1	0	239.785	100	16	3834	16	70	7.7	7.25	6579.05	16	regulation of biological process	cytoplasm	DNA binding	Pf00313	1045632	PP_2463	"cspA-2; cspA-II"					0	4642906967	4028011498	4081250123	4344485143	3936936095	6327836363	5077860502	4076402501	5792179034	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88QL3	30S ribosomal protein S13 OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rpsM PE=3 SV=1	0	239.782	72	18	1824	18	118	13.2	10.67	3599.49	18	"metabolic process;response to stimulus"	ribosome	"catalytic activity;DNA binding;metal ion binding;RNA binding;structural molecule activity"	Pf00416, Pf06831	"1044241; 32803846"	PP_0476	"rpsM; PSEEN_RS02385"	Ribosome				1	861687911.5	877280575.7	914516051.2	854644175.1	618417198.4	952406513.8	859445143.2	787742877.4	1312998012	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
